"id","listnum","category","item","rt"
"007-DlWW5ljGl","0","animali","banana","2590"
"007-DlWW5ljGl","0","animali","cane","8694"
"015-Wxp5TYig8","0","animali","animali","6587"
"015-Wxp5TYig8","0","animali","cane","6587"
"015-Wxp5TYig8","0","animali","gatto","6587"
"015-Wxp5TYig8","0","animali","mucca","6587"
"015-Wxp5TYig8","0","animali","maiale","6587"
"015-Wxp5TYig8","0","animali","attacchino","9271"
"015-Wxp5TYig8","0","animali","capra","13179"
"015-Wxp5TYig8","0","animali","pecora","13179"
"015-Wxp5TYig8","0","animali","basta","32339"
"015-Wxp5TYig8","0","animali","ho","32339"
"015-Wxp5TYig8","0","animali","detto","32339"
"015-Wxp5TYig8","0","animali","tutti","32339"
"015-Wxp5TYig8","0","animali","gli","32339"
"015-Wxp5TYig8","0","animali","animali","32339"
"015-Wxp5TYig8","0","animali","in","32339"
"015-Wxp5TYig8","0","animali","campagna","32339"
"015-Wxp5TYig8","0","animali","che","32339"
"015-Wxp5TYig8","0","animali","avevo","32339"
"015-Wxp5TYig8","0","animali","da","32339"
"015-Wxp5TYig8","0","animali","piccola","32339"
"015-Wxp5TYig8","0","animali","animali","43864"
"015-Wxp5TYig8","0","animali","poi","43864"
"015-Wxp5TYig8","0","animali","ci","43864"
"015-Wxp5TYig8","0","animali","sono","43864"
"015-Wxp5TYig8","0","animali","quelli","43864"
"015-Wxp5TYig8","0","animali","della","43864"
"015-Wxp5TYig8","0","animali","savana","43864"
"015-Wxp5TYig8","0","animali","ma","43864"
"015-Wxp5TYig8","0","animali","anche","43864"
"015-Wxp5TYig8","0","animali","giraffa","43864"
"015-Wxp5TYig8","0","animali","leone","46935"
"015-Wxp5TYig8","0","animali","ippopotamo","50513"
"015-Wxp5TYig8","0","animali","canguro","53216"
"015-Wxp5TYig8","0","animali","elefante","59621"
"015-Wxp5TYig8","1","frutta","gira","61271"
"015-Wxp5TYig8","1","frutta","a","3155"
"015-Wxp5TYig8","1","frutta","frutta","3155"
"015-Wxp5TYig8","1","frutta","frutta","3155"
"015-Wxp5TYig8","1","frutta","banana","5787"
"015-Wxp5TYig8","1","frutta","arancia","5787"
"015-Wxp5TYig8","1","frutta","kiwi","8792"
"015-Wxp5TYig8","1","frutta","noci","12992"
"015-Wxp5TYig8","1","frutta","ananas","17420"
"015-Wxp5TYig8","1","frutta","melograno","21807"
"015-Wxp5TYig8","1","frutta","che","35907"
"015-Wxp5TYig8","1","frutta","altro","35907"
"015-Wxp5TYig8","1","frutta","fragole","35907"
"015-Wxp5TYig8","1","frutta","albicocche","35907"
"015-Wxp5TYig8","1","frutta","pesca","35907"
"015-Wxp5TYig8","1","frutta","vado","35907"
"015-Wxp5TYig8","1","frutta","per","35907"
"015-Wxp5TYig8","1","frutta","stagione","35907"
"015-Wxp5TYig8","1","frutta","prugne","44428"
"015-Wxp5TYig8","1","frutta","melone","47982"
"015-Wxp5TYig8","1","frutta","anguria","47982"
"015-Wxp5TYig8","1","frutta","mirtilli","51991"
"015-Wxp5TYig8","1","frutta","lamponi","55355"
"015-Wxp5TYig8","2","verdura","cavolfiore","6412"
"015-Wxp5TYig8","2","verdura","broccoli","6412"
"015-Wxp5TYig8","2","verdura","verza","6412"
"015-Wxp5TYig8","2","verdura","finocchi","6412"
"015-Wxp5TYig8","2","verdura","insalata","9858"
"015-Wxp5TYig8","2","verdura","radicchio","9858"
"015-Wxp5TYig8","2","verdura","patate","15838"
"015-Wxp5TYig8","2","verdura","melanzane","15838"
"015-Wxp5TYig8","2","verdura","cetrioli","15838"
"015-Wxp5TYig8","2","verdura","pomodori","15838"
"015-Wxp5TYig8","2","verdura","zucchine","22796"
"015-Wxp5TYig8","2","verdura","zucca","22796"
"015-Wxp5TYig8","2","verdura","have","27850"
"015-Wxp5TYig8","2","verdura","fagioli","27850"
"015-Wxp5TYig8","2","verdura","no","31990"
"015-Wxp5TYig8","2","verdura","questi","31990"
"015-Wxp5TYig8","2","verdura","sono","31990"
"015-Wxp5TYig8","2","verdura","legumi","31990"
"015-Wxp5TYig8","2","verdura","cipolla","54247"
"015-Wxp5TYig8","2","verdura","pori","60305"
"015-Wxp5TYig8","3","animali","allora","4796"
"015-Wxp5TYig8","3","animali","mucca","9517"
"015-Wxp5TYig8","3","animali","pecora","9517"
"015-Wxp5TYig8","3","animali","cavallo","9517"
"015-Wxp5TYig8","3","animali","gallo","11692"
"015-Wxp5TYig8","3","animali","maiale","15839"
"015-Wxp5TYig8","3","animali","giraffa","29444"
"015-Wxp5TYig8","3","animali","elefante","29444"
"015-Wxp5TYig8","3","animali","scimmia","33048"
"015-Wxp5TYig8","3","animali","ippopotamo","33048"
"015-Wxp5TYig8","3","animali","leone","38733"
"015-Wxp5TYig8","3","animali","tigre","38733"
"015-Wxp5TYig8","4","frutta","banana","5819"
"015-Wxp5TYig8","4","frutta","arancia","5819"
"015-Wxp5TYig8","4","frutta","kiwi","5819"
"015-Wxp5TYig8","4","frutta","fragole","7485"
"015-Wxp5TYig8","4","frutta","mirtilli","11474"
"015-Wxp5TYig8","4","frutta","lamponi","11474"
"015-Wxp5TYig8","4","frutta","melone","17241"
"015-Wxp5TYig8","4","frutta","anguria","17241"
"015-Wxp5TYig8","4","frutta","noci","23672"
"015-Wxp5TYig8","4","frutta","prugne","26030"
"015-Wxp5TYig8","4","frutta","melograno","42436"
"015-Wxp5TYig8","4","frutta","cachi","45221"
"015-Wxp5TYig8","4","frutta","ananas","48605"
"015-Wxp5TYig8","5","verdura","zucchine","2944"
"015-Wxp5TYig8","5","verdura","cetrioli","8691"
